instance	category	node_limit	time_limit_sec	hard_kill_sec	observed_nodes	observed_elapsed_sec	observed_result
mis_n20_sd42_geometric_unit	concluded_fast	0	120	300	0	0	Optimal solution found
mis_n30_sd42_cycle_uniform	concluded_fast	0	120	300	0	0.01	Optimal solution found
mis_n30_sd42_random_uniform	concluded_fast	0	120	300	0	0.01	Optimal solution found
mis_n35_sd137_geometric_diverse	concluded_fast	0	120	300	0	0	Optimal solution found
mis_n36_sd42_grid_unit	concluded_fast	0	120	300	0	0.01	Optimal solution found
mis_n40_sd137_planar_uniform	concluded_fast	0	120	300	0	0.01	Optimal solution found
mis_search_n100_ep0.25_unit_s2	concluded_fast	1260	120	300	420	15.41	Optimal solution found
mis_search_n100_ep0.35_uniform_s1	concluded_fast	312	120	300	104	12.05	Optimal solution found
mis_search_n100_ep0.4_diverse_s1	concluded_fast	168	120	300	56	11.14	Optimal solution found
mis_search_n100_ep0.4_unit_s3	concluded_fast	2058	120	300	686	23.9	Optimal solution found
mis_search_n110_ep0.25_uniform_s1	concluded_fast	246	120	300	82	10.87	Optimal solution found
mis_search_n110_ep0.2_uniform_s2	concluded_fast	1986	120	300	662	13.64	Optimal solution found
mis_search_n110_ep0.2_unit_s2	concluded_fast	6540	120	300	2180	31.02	Optimal solution found
mis_search_n120_ep0.25_diverse_s1	concluded_fast	186	120	300	62	12.68	Optimal solution found
mis_search_n120_ep0.3_uniform_s2	concluded_fast	1086	120	300	362	25.15	Optimal solution found
mis_search_n120_ep0.4_unit_s2	concluded_fast	4170	120	300	1390	50.45	Optimal solution found
mis_search_n130_ep0.2_diverse_s3	concluded_fast	270	120	300	90	12.63	Optimal solution found
mis_search_n130_ep0.2_uniform_s1	concluded_fast	1308	120	300	436	21.38	Optimal solution found
mis_search_n130_ep0.3_uniform_s3	concluded_fast	3978	120	300	1326	39.25	Optimal solution found
mis_search_n90_ep0.25_unit_s3	concluded_fast	1959	120	300	653	10.62	Optimal solution found
mis_search_n90_ep0.35_unit_s2	concluded_fast	1044	120	300	348	11.38	Optimal solution found
qap_n4_s42_uniform_euclidean	concluded_fast	12	120	300	4	0.68	Optimal solution found
qap_n5_s137_sparse_manhattan	concluded_fast	24	120	300	8	0.52	Optimal solution found
qap_n5_s42_uniform_euclidean	concluded_fast	78	120	300	26	1.27	Optimal solution found
qap_n6_s137_hub_euclidean	concluded_fast	318	120	300	106	3.9	Optimal solution found
qap_n6_s42_uniform_grid	concluded_fast	1746	120	300	582	6.09	Optimal solution found
qap_n7_s137_sparse_grid	concluded_fast	78	120	300	26	1.06	Optimal solution found
qap_n7_s42_uniform_euclidean	concluded_fast	7500	120	300	2500	16.04	Optimal solution found
qap_search_n7_hub_euclidean_s3	concluded_fast	5736	120	300	1912	14.8	Optimal solution found
qap_search_n7_hub_euclidean_s4	concluded_fast	3306	120	300	1102	11.84	Optimal solution found
qap_search_n7_hub_grid_s1	concluded_fast	2832	120	300	944	10.47	Optimal solution found
qap_search_n7_hub_grid_s2	concluded_fast	17094	120	300	5698	39.83	Optimal solution found
qap_search_n7_hub_manhattan_s3	concluded_fast	2448	120	300	816	10.73	Optimal solution found
qap_search_n7_uniform_grid_s2	concluded_fast	11880	120	300	3960	26.52	Optimal solution found
qap_search_n7_uniform_manhattan_s1	concluded_fast	15222	120	300	5074	30.54	Optimal solution found
qap_search_n7_uniform_manhattan_s3	concluded_fast	9756	120	300	3252	20.78	Optimal solution found
qap_search_n8_hub_euclidean_s1	concluded_fast	37062	120	300	12354	59.83	Optimal solution found
qap_search_n8_hub_grid_s3	concluded_fast	27408	120	300	9136	47.35	Optimal solution found
qap_search_n8_sparse_grid_s4	concluded_fast	7908	120	300	2636	14.63	Optimal solution found
qap_search_n8_sparse_manhattan_s1	concluded_fast	30384	120	300	10128	10.39	Optimal solution found
rcpsp_n10_r2_ep0.4_s42	concluded_fast	17859	120	300	5953	13.81	Optimal solution found
rcpsp_n10_r2_s7	concluded_fast	0	120	300	0	6.05	Optimal solution found
rcpsp_n10_r3_dense_s99	concluded_fast	0	120	300	0	3.56	Optimal solution found
rcpsp_n11_r2_ep0.2_s7	concluded_fast	15387	120	300	5129	26.18	Optimal solution found
rcpsp_n11_r2_ep0.4_s4	concluded_fast	6030	120	300	2010	12.47	Optimal solution found
rcpsp_n11_r2_ep0.4_s7	concluded_fast	165	120	300	55	13.38	Optimal solution found
rcpsp_n6_r2_s42	concluded_fast	0	120	300	0	0.1	Optimal solution found
rcpsp_n8_r2_s137	concluded_fast	0	120	300	0	3.25	Optimal solution found
rcpsp_n8_r3_tight_s42	concluded_fast	0	120	300	0	2.54	Optimal solution found
rcpsp_n9_r2_ep0.2_s1	concluded_fast	99300	120	300	33100	25.87	Optimal solution found
rcpsp_n9_r2_ep0.2_s7	concluded_fast	4191	120	300	1397	10.95	Optimal solution found
rcpsp_n9_r2_ep0.2_s8	concluded_fast	88353	120	300	29451	21.61	Optimal solution found
rcpsp_n9_r2_ep0.4_s7	concluded_fast	6675	120	300	2225	13.03	Optimal solution found
rcpsp_n9_r2_ep0.4_s8	concluded_fast	95571	120	300	31857	22.16	Optimal solution found
spp_e10_s15_sd42_random	concluded_fast	0	120	300	0	0.01	Optimal solution found
spp_e12_s18_sd42_k_partite	concluded_fast	0	120	300	0	0	Optimal solution found
spp_e15_s20_sd137_geometric	concluded_fast	0	120	300	0	0.01	Optimal solution found
spp_e20_s25_sd42_scheduling	concluded_fast	0	120	300	0	0.01	Optimal solution found
spp_e30_s50_sd42_random	concluded_fast	0	120	300	0	0.01	Optimal solution found
spp_e35_s60_sd137_k_partite	concluded_fast	0	120	300	0	0.01	Optimal solution found
spp_e40_s70_sd42_geometric	concluded_fast	0	120	300	0	0.01	Optimal solution found
spp_e50_s80_sd137_scheduling	concluded_fast	0	120	300	0	0.01	Optimal solution found
spp_search_n300_r4_k50_s2	concluded_fast	870	120	300	290	11.08	Optimal solution found
spp_search_n300_r6_k70_s3	concluded_fast	378	120	300	126	11.89	Optimal solution found
spp_search_n350_r4_k50_s1	concluded_fast	798	120	300	266	12.49	Optimal solution found
spp_search_n350_r4_k80_s3	concluded_fast	666	120	300	222	19.38	Optimal solution found
spp_search_n350_r6_k80_s3	concluded_fast	108	120	300	36	14.38	Optimal solution found
spp_search_n400_r4_k50_s3	concluded_fast	822	120	300	274	17.53	Optimal solution found
spp_search_n400_r5_k80_s2	concluded_fast	90	120	300	30	9.7	Optimal solution found
spp_search_n400_r6_k60_s1	concluded_fast	318	120	300	106	13.54	Optimal solution found
spp_search_n400_r6_k70_s3	concluded_fast	564	120	300	188	26.18	Optimal solution found
spp_search_n450_r4_k80_s3	concluded_fast	312	120	300	104	21.29	Optimal solution found
spp_search_n450_r5_k50_s1	concluded_fast	1422	120	300	474	39.23	Optimal solution found
spp_search_n450_r5_k50_s3	concluded_fast	3657	120	300	1219	51.78	Optimal solution found
spp_search_n450_r5_k70_s3	concluded_fast	492	120	300	164	22.97	Optimal solution found
spp_search_n450_r6_k60_s1	concluded_fast	438	120	300	146	16.33	Optimal solution found
spp_search_n450_r6_k70_s1	concluded_fast	708	120	300	236	22.6	Optimal solution found
sppc_bug_wrongopt_preprocess	concluded_fast	0	120	300	0	0.01	Optimal solution found
sppc_small_1	concluded_fast	0	120	300	0	0	Optimal solution found
sppc_small_2	concluded_fast	0	120	300	0	0.01	Optimal solution found
sppc_t100_p150_c100_s8	concluded_fast	6171	120	300	2057	42.78	Optimal solution found
sppc_t100_p200_c100_s1	concluded_fast	3330	120	300	1110	54.37	Optimal solution found
sppc_t100_p250_c150_s6	concluded_fast	402	120	300	134	28.27	Optimal solution found
sppc_t100_p300_c200_s6	concluded_fast	234	120	300	78	23.3	Optimal solution found
sppc_t50_p100_c100_s8	concluded_fast	3876	120	300	1292	14.91	Optimal solution found
sppc_t50_p125_c75_s2	concluded_fast	1566	120	300	522	10.58	Optimal solution found
sppc_t50_p75_c75_s1	concluded_fast	1995	120	300	665	8.19	Optimal solution found
sppc_t60_p120_c90_s1	concluded_fast	1986	120	300	662	16.09	Optimal solution found
sppc_t60_p150_c60_s5	concluded_fast	2490	120	300	830	14.61	Optimal solution found
sppc_t60_p180_c60_s8	concluded_fast	6630	120	300	2210	35.26	Optimal solution found
sppc_t60_p90_c90_s7	concluded_fast	2622	120	300	874	13.6	Optimal solution found
sppc_t80_p120_c80_s2	concluded_fast	2766	120	300	922	17.66	Optimal solution found
sppc_t80_p160_c120_s4	concluded_fast	7530	120	300	2510	55.39	Optimal solution found
sppc_t80_p160_c80_s1	concluded_fast	10125	120	300	3375	52.77	Optimal solution found
sppc_t80_p200_c160_s5	concluded_fast	2796	120	300	932	43.75	Optimal solution found
sppc_t80_p200_c80_s6	concluded_fast	6126	120	300	2042	53.45	Optimal solution found
sppc_t80_p240_c120_s1	concluded_fast	3480	120	300	1160	52.72	Optimal solution found
steiner_complete10_unit_t4	concluded_fast	18	120	300	6	1.05	Optimal solution found
steiner_complete12_rand_t3	concluded_fast	3	120	300	1	1.41	Optimal solution found
steiner_geom15_r30_t3	concluded_fast	0	120	300	0	0.01	Optimal solution found
steiner_geom20_r35_t5	concluded_fast	0	120	300	0	0.03	Optimal solution found (within gap tolerance)
steiner_grid4x4_t3_corners	concluded_fast	0	120	300	0	0.02	Optimal solution found
steiner_grid5x5_t4_sparse	concluded_fast	24	120	300	8	1.11	Optimal solution found
steiner_search_n16_t10_sd21	concluded_fast	5901	120	300	1967	11.49	Optimal solution found
steiner_search_n18_t10_sd99	concluded_fast	40845	120	300	13615	14.9	Optimal solution found
steiner_search_n18_t8_sd21	concluded_fast	19749	120	300	6583	13.3	Optimal solution found
steiner_search_n20_t10_sd21	concluded_fast	14883	120	300	4961	14.59	Optimal solution found
steiner_search_n20_t7_sd99	concluded_fast	18270	120	300	6090	13.17	Optimal solution found
steiner_search_n20_t8_sd7	concluded_fast	24231	120	300	8077	11.04	Optimal solution found
steiner_search_n20_t9_sd7	concluded_fast	94806	120	300	31602	24.3	Optimal solution found
steiner_search_n22_t6_sd42	concluded_fast	6759	120	300	2253	14.99	Optimal solution found
steiner_search_n22_t8_sd21	concluded_fast	3684	120	300	1228	18.43	Optimal solution found
steiner_search_n22_t9_sd137	concluded_fast	3504	120	300	1168	11.87	Optimal solution found
steiner_search_n22_t9_sd21	concluded_fast	38781	120	300	12927	25.16	Optimal solution found
